step,action_pred,action_opt,reward,TP,FP,FN,TN
355,0,0,0.9114485383033752,82,76,74,97
356,0,1,-0.6703413128852844,82,76,75,97
357,1,0,-1.014379858970642,82,77,75,97
358,1,1,0.8342971801757812,83,77,75,97
359,0,1,-0.8867124915122986,83,77,76,97
360,0,1,-0.9033514857292175,83,77,77,97
362,0,1,-0.891065239906311,83,77,78,97
363,1,0,-0.7960953116416931,83,78,78,97
364,0,0,0.5641317367553711,83,78,78,98
365,1,1,0.640505850315094,84,78,78,98
366,0,0,-0.09244756400585175,84,78,78,99
367,0,0,-0.08331164717674255,84,78,78,100
368,0,0,0.33164021372795105,84,78,78,101
369,0,1,-0.15053655207157135,84,78,79,101
370,1,0,-0.565399169921875,84,79,79,101
371,0,0,-0.02907426282763481,84,79,79,102
372,1,0,-0.6166814565658569,84,80,79,102
373,0,0,0.1441105604171753,84,80,79,103
374,1,0,-0.4247116446495056,84,81,79,103
375,0,1,-0.9294071793556213,84,81,80,103
376,0,1,-0.8826870322227478,84,81,81,103
377,1,0,-0.21507777273654938,84,82,81,103
378,1,0,-0.04339895769953728,84,83,81,103
379,1,1,0.6750437617301941,85,83,81,103
380,0,0,0.3107167184352875,85,83,81,104
381,0,0,0.46901243925094604,85,83,81,105
382,1,1,0.08250334113836288,86,83,81,105
383,0,1,-0.17281049489974976,86,83,82,105
384,1,1,0.6829400062561035,87,83,82,105
385,1,1,0.6006436944007874,88,83,82,105
386,0,1,-0.21902430057525635,88,83,83,105
387,0,0,-0.003656385699287057,88,83,83,106
388,0,1,-0.34675824642181396,88,83,84,106
389,0,0,0.6301998496055603,88,83,84,107
390,1,0,-0.6785761117935181,88,84,84,107
391,1,0,-0.7827599048614502,88,85,84,107
392,0,0,0.29156002402305603,88,85,84,108
393,1,1,0.801690936088562,89,85,84,108
394,0,0,0.4237261712551117,89,85,84,109
395,1,0,-0.05442005768418312,89,86,84,109
396,1,0,-0.004308316856622696,89,87,84,109
397,1,1,0.04084066301584244,90,87,84,109
398,0,0,0.8609733581542969,90,87,84,110
400,0,1,-0.18508964776992798,90,87,85,110
401,1,1,0.7592413425445557,91,87,85,110
402,0,1,-0.9041738510131836,91,87,86,110
403,1,1,0.7734819650650024,92,87,86,110
405,1,0,-0.1156049445271492,92,88,86,110
406,0,1,-0.23474913835525513,92,88,87,110
407,0,1,-0.19174858927726746,92,88,88,110
408,1,0,-0.5773314833641052,92,89,88,110
409,0,0,0.3492336869239807,92,89,88,111
410,0,1,-0.22687290608882904,92,89,89,111
411,1,0,-0.32366207242012024,92,90,89,111
412,0,0,0.4659523665904999,92,90,89,112
414,0,1,-0.9254375100135803,92,90,90,112
415,1,1,-0.02198813110589981,93,90,90,112
416,0,1,-0.9308769106864929,93,90,91,112
417,0,1,-0.9145796895027161,93,90,92,112
418,0,1,-0.9296475648880005,93,90,93,112
419,0,0,0.5245556235313416,93,90,93,113
420,1,1,0.061420898884534836,94,90,93,113
421,0,1,-0.758554220199585,94,90,94,113
422,0,0,0.6826673150062561,94,90,94,114
423,1,0,-0.07470438629388809,94,91,94,114
424,1,0,-0.7046197652816772,94,92,94,114
425,0,0,-0.06606560945510864,94,92,94,115
426,0,1,-0.946783721446991,94,92,95,115
427,0,0,0.6131699681282043,94,92,95,116
428,1,0,-0.06936653703451157,94,93,95,116
429,0,0,0.6240807175636292,94,93,95,117
430,1,0,-0.6789073348045349,94,94,95,117
431,0,1,-0.4444155693054199,94,94,96,117
432,0,1,-0.3971722424030304,94,94,97,117
433,1,1,0.059888843446969986,95,94,97,117
435,0,1,-0.16638541221618652,95,94,98,117
436,0,1,-0.8269135355949402,95,94,99,117
437,0,1,-0.8902460932731628,95,94,100,117
438,1,0,-0.7301381826400757,95,95,100,117
439,1,1,0.7892295718193054,96,95,100,117
440,0,0,0.3086359202861786,96,95,100,118
441,1,1,0.1697055995464325,97,95,100,118
442,0,0,0.4607602059841156,97,95,100,119
444,0,0,0.5179581046104431,97,95,100,120
445,0,0,0.4853435158729553,97,95,100,121
446,1,0,-0.829410970211029,97,96,100,121
447,0,1,-0.1901949793100357,97,96,101,121
448,0,0,0.5876182317733765,97,96,101,122
449,1,0,-0.5992785096168518,97,97,101,122
450,1,0,-0.740977942943573,97,98,101,122
451,0,0,0.5942582488059998,97,98,101,123
452,0,0,0.2636612355709076,97,98,101,124
453,1,1,0.22526928782463074,98,98,101,124
454,0,1,-0.7675535678863525,98,98,102,124
455,0,1,-0.911983072757721,98,98,103,124
456,0,0,0.624675452709198,98,98,103,125
457,1,0,-0.701442539691925,98,99,103,125
458,1,0,-0.8403286337852478,98,100,103,125
459,0,0,0.4990091919898987,98,100,103,126
460,1,1,0.24306504428386688,99,100,103,126
461,1,1,0.7911854386329651,100,100,103,126
462,0,1,-0.7627213597297668,100,100,104,126
463,1,1,0.6616732478141785,101,100,104,126
464,0,1,-0.7727301716804504,101,100,105,126
465,0,0,0.5656076073646545,101,100,105,127
466,1,1,0.15074390172958374,102,100,105,127
467,0,1,-0.9568894505500793,102,100,106,127
468,0,0,0.5292267203330994,102,100,106,128
469,0,0,0.5770758986473083,102,100,106,129
470,1,1,0.6637825965881348,103,100,106,129
471,1,1,0.754298210144043,104,100,106,129
472,1,0,-0.7868037819862366,104,101,106,129
473,0,1,-0.5334255695343018,104,101,107,129
474,0,1,-0.2544170022010803,104,101,108,129
475,0,1,-0.25414586067199707,104,101,109,129
476,0,1,-0.16811789572238922,104,101,110,129
477,1,0,-0.7378072738647461,104,102,110,129
479,0,0,0.509707510471344,104,102,110,130
480,0,0,0.3064097464084625,104,102,110,131
481,1,1,0.8365722894668579,105,102,110,131
482,1,1,0.8293606638908386,106,102,110,131
483,0,1,-0.9487721920013428,106,102,111,131
484,1,1,0.16455575823783875,107,102,111,131
485,1,0,-0.5929791927337646,107,103,111,131
486,0,0,0.5028407573699951,107,103,111,132
487,0,1,-0.4867454767227173,107,103,112,132
488,0,0,0.2599821388721466,107,103,112,133
490,1,0,-0.3744794428348541,107,104,112,133
491,0,1,-0.9716898798942566,107,104,113,133
492,1,0,-0.6544337272644043,107,105,113,133
493,0,1,-0.9214699864387512,107,105,114,133
494,1,1,0.6893672347068787,108,105,114,133
495,1,1,0.8185166716575623,109,105,114,133
497,0,1,-1.0097793340682983,109,105,115,133
498,0,1,-0.8200868368148804,109,105,116,133
499,1,1,0.14820748567581177,110,105,116,133
500,1,0,-0.40115752816200256,110,106,116,133
501,0,0,0.6264286041259766,110,106,116,134
502,0,1,-0.9971796870231628,110,106,117,134
503,0,1,-0.827505350112915,110,106,118,134
504,1,0,-0.8441250920295715,110,107,118,134
505,0,1,-0.7848774194717407,110,107,119,134
506,1,0,-0.19200608134269714,110,108,119,134
507,0,1,-0.5576508045196533,110,108,120,134
508,0,1,-1.0028866529464722,110,108,121,134
509,0,1,-0.2852676212787628,110,108,122,134
510,1,1,0.10842114686965942,111,108,122,134
511,1,1,0.6824321746826172,112,108,122,134
512,1,1,0.42844823002815247,113,108,122,134
513,0,0,0.6154956221580505,113,108,122,135
514,1,1,0.746674656867981,114,108,122,135
516,0,1,-0.24479886889457703,114,108,123,135
517,1,1,0.7406740784645081,115,108,123,135
518,1,1,0.3330063223838806,116,108,123,135
519,0,1,-0.8900783658027649,116,108,124,135
520,1,0,-0.589148223400116,116,109,124,135
522,1,1,0.7597629427909851,117,109,124,135
525,1,0,-0.8188650608062744,117,110,124,135
526,0,0,0.8643051385879517,117,110,124,136
527,0,0,0.5408728718757629,117,110,124,137
528,1,0,-0.11863473802804947,117,111,124,137
529,0,1,-0.9513807892799377,117,111,125,137
530,0,1,-1.0005953311920166,117,111,126,137
531,0,1,-0.8637794256210327,117,111,127,137
532,0,0,0.5086956024169922,117,111,127,138
533,0,0,0.6333411335945129,117,111,127,139
534,0,1,-0.8802685141563416,117,111,128,139
535,1,0,-0.1324872523546219,117,112,128,139
536,0,0,0.6800003051757812,117,112,128,140
537,1,1,0.7439504265785217,118,112,128,140
