origin_id,destination_id,current_time,wait_time_minutes,next_departure
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,05:30:00,295.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,05:45:00,280.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,06:00:00,265.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,06:15:00,250.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,06:30:00,235.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,06:45:00,220.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,07:00:00,205.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,07:15:00,190.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,07:30:00,175.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,07:45:00,160.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,08:00:00,145.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,08:15:00,130.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,08:30:00,115.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,08:45:00,100.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,09:00:00,85.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,09:15:00,70.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,09:30:00,55.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,09:45:00,40.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,10:00:00,25.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,10:15:00,10.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,10:30:00,55.0,11:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,10:45:00,40.0,11:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,11:00:00,25.0,11:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,11:15:00,10.0,11:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,11:30:00,55.0,12:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,11:45:00,40.0,12:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,12:00:00,25.0,12:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,12:15:00,10.0,12:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,12:30:00,115.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,12:45:00,100.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,13:00:00,85.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,13:15:00,70.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,13:30:00,55.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581199,13:45:00,40.0,14:25:00
