route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-87581009-87391003,75,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260714,12260,1.0,518,
OCESN-87581009-87391003,116,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260406,12260,1.0,519,
OCESN-87581009-87391003,365,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1716:20260517,12260,1.0,520,
OCESN-87581009-87391003,115,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1719:20260503,12260,1.0,521,
OCESN-87581009-87391003,131,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1719:20260426,12260,1.0,522,
OCESN-87581009-87391003,366,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1719:20260424,12260,1.0,523,
OCESN-87581009-87391003,114,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1718:20260308,12260,1.0,524,
OCESN-87581009-87391003,367,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1714:20260703,12260,1.0,525,
OCESN-87581009-87391003,368,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1714:20260626,12260,1.0,526,
OCESN-87581009-87391003,140,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1715:20260405,12260,1.0,527,
OCESN-87581009-87391003,369,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1717:20260417,12260,1.0,528,
OCESN-87581009-87391003,130,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1717:20260419,12260,1.0,529,
OCESN-87581009-87391003,370,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1718:20260513,12260,1.0,530,
OCESN-87581009-87391003,371,OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1718:20260430,12260,1.0,531,
OCESN-87391003-87581009,372,OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1714:20260512,12261,0.0,532,
OCESN-87391003-87581009,17,OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1717:20260508,12261,0.0,533,
OCESN-87391003-87581009,309,OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1714:20260513,12261,0.0,534,
OCESN-87391003-87581009,373,OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1714:20260829,12261,0.0,535,
OCESN-87391003-87581009,374,OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1714:20260827,12261,0.0,536,
OCESN-87391003-87581009,50,OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1816:20260515,12261,0.0,537,
OCESN-87391003-87581009,97,OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1806:20260514,12261,0.0,538,
OCESN-87391003-87581009,375,OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1812:20260701,12263,0.0,539,
OCESN-87391003-87581009,376,OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260627,12263,0.0,540,
OCESN-87391003-87581009,377,OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260628,12263,0.0,541,
OCESN-87391003-87581009,378,OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260329,12263,0.0,542,
OCESN-87391003-87581009,379,OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260517,12263,0.0,543,
OCESN-87391003-87677005,140,OCESN12263F1187_F:OUI:OCESN-87391003-87677005:87391003:87677005:8:2048:20260405,12263,0.0,544,
OCESN-87391003-87581009,50,OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1842:20260515,12263,0.0,545,
OCESN-87391003-87581009,97,OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1842:20260514,12263,0.0,546,
OCESN-87391003-87581009,380,OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260419,12263,0.0,547,
OCESN-87391003-87581009,381,OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260606,12263,0.0,548,
OCESN-87391003-87677005,382,OCESN12263F1187_F:OUI:OCESN-87391003-87677005:87391003:87677005:7:2048:20260429,12263,0.0,549,
OCESN-87391003-87581009,17,OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1818:20260508,12263,0.0,550,
OCESN-87581009-87391003,52,OCESN12264F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1421:20260509,12264,1.0,551,
