trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1714:20260626,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1715:20260405,14:43:00,14:43:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1717:20260417,14:45:00,14:45:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1717:20260419,14:45:00,14:45:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1718:20260513,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1718:20260430,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1655:20260320,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1714:20260512,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1717:20260508,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1714:20260513,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1714:20260829,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1816:20260515,18:16:00,18:16:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1806:20260514,18:06:00,18:06:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1714:20260831,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1714:20260827,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260627,18:12:00,18:12:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260628,18:12:00,18:12:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260329,18:12:00,18:12:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260517,18:12:00,18:12:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87677005:87391003:87677005:8:2048:20260405,18:12:00,18:18:00,StopPoint:OCETGV INOUI-87581009,2,,0,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1842:20260515,18:42:00,18:42:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1842:20260514,18:42:00,18:42:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260419,18:12:00,18:12:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1812:20260606,18:12:00,18:12:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87677005:87391003:87677005:7:2048:20260429,18:12:00,18:18:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1818:20260508,18:18:00,18:18:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1812:20260701,18:12:00,18:12:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
