id,lat,lon,name,capacity,type,source
10592436274,44.8626691,-0.726975,Parking_10592436274,,node,osm
10592446535,44.8630333,-0.7267745,Parking_10592446535,10.0,node,osm
10592494810,44.8646287,-0.7258562,Parking_10592494810,50.0,node,osm
10764349734,44.8640411,-0.5194135,Parking_10764349734,,node,osm
10873493703,44.8509617,-0.5183983,Parking_10873493703,,node,osm
10873799959,44.8513123,-0.5173032,Parking_10873799959,,node,osm
11007797952,44.8291088,-0.5707406,Parking_11007797952,,node,osm
11532630934,44.9142482,-0.5148591,Parking_11532630934,,node,osm
11787202383,44.8937262,-0.7691695,Parking_11787202383,,node,osm
11805048629,44.7988408,-0.6152583,Parking_11805048629,4.0,node,osm
11805051523,44.7989264,-0.6153036,Parking_11805051523,8.0,node,osm
11922319002,44.898929,-0.517401,Parking_11922319002,37.0,node,osm
11937861902,44.8787907,-0.6010198,Parking_11937861902,3.0,node,osm
11943172643,44.8692542,-0.6079642,Parking_11943172643,,node,osm
11947730057,44.8771454,-0.5964573,Parking_11947730057,18.0,node,osm
11992531841,44.835792,-0.5522853,Indigo,109.0,node,osm
12041855853,44.841675,-0.51503,Parking_12041855853,,node,osm
12318226477,44.7808255,-0.6242245,Parking_12318226477,,node,osm
12318226478,44.7808236,-0.6241997,Parking_12318226478,,node,osm
12407220178,44.7996703,-0.612362,Parking_12407220178,,node,osm
12407220179,44.799583,-0.6128806,Parking_12407220179,,node,osm
12536751020,44.8714381,-0.5621913,Parking_12536751020,,node,osm
12738725127,44.7986954,-0.6132965,Parking_12738725127,,node,osm
12738726741,44.7990826,-0.6133324,Parking_12738726741,,node,osm
12738773732,44.7987165,-0.6158336,Parking_12738773732,,node,osm
12738773733,44.798705,-0.6158728,Parking_12738773733,,node,osm
12738773734,44.7986905,-0.615911,Parking_12738773734,,node,osm
12738773735,44.798682,-0.6159398,Parking_12738773735,,node,osm
12738773736,44.7986731,-0.6159696,Parking_12738773736,,node,osm
12738811638,44.7988156,-0.6157925,Parking_12738811638,,node,osm
12738811639,44.7988083,-0.615815,Parking_12738811639,,node,osm
12738811640,44.7988004,-0.6158395,Parking_12738811640,,node,osm
12738811641,44.7987931,-0.615866,Parking_12738811641,,node,osm
12738811642,44.7987859,-0.6158844,Parking_12738811642,,node,osm
12738811643,44.7987822,-0.6159038,Parking_12738811643,,node,osm
12738811644,44.7987757,-0.6159252,Parking_12738811644,,node,osm
12848338243,44.8063241,-0.5909786,Parking_12848338243,,node,osm
12866679677,44.7937772,-0.6245201,Parking_12866679677,,node,osm
12866693169,44.79439,-0.6212161,Parking_12866693169,,node,osm
